Date,Open,High,Low,Close
2021-09-01,569.0,591.0,569.0,582.070007
2021-09-02,583.679993,598.76001,583.679993,588.549988
2021-09-03,585.799988,591.880005,583.140015,590.530029
2021-09-07,594.690002,613.849976,593.98999,606.710022
2021-09-08,603.840027,615.599976,595.710022,606.049988
2021-09-09,606.469971,609.440002,596.549988,597.539978
2021-09-10,598.159973,609.450012,593.669983,598.719971
2021-09-13,598.570007,598.570007,582.780029,589.289978
2021-09-14,584.890015,587.280029,575.559998,577.76001
2021-09-15,578.169983,584.619995,575.369995,582.869995
2021-09-16,584.299988,587.47998,577.719971,586.5
2021-09-17,587.849976,590.280029,580.849976,589.349976
2021-09-20,586.789978,591.530029,568.080017,575.429993
2021-09-21,578.309998,581.880005,569.369995,573.140015
2021-09-22,579.690002,595.650024,579.690002,590.650024
2021-09-23,590.789978,599.320007,589.130005,593.26001
2021-09-24,592.5,592.97998,583.640015,592.390015
2021-09-27,587.950012,593.580017,576.929993,592.640015
2021-09-28,589.0,599.539978,580.159973,583.849976
2021-09-29,589.01001,609.880005,588.01001,599.059998
2021-09-30,608.049988,619.0,608.049988,610.340027
2021-10-01,604.23999,614.98999,597.51001,613.150024
2021-10-04,613.390015,626.130005,594.679993,603.349976
2021-10-05,606.940002,640.390015,606.890015,634.809998
2021-10-06,628.179993,639.869995,626.359985,639.099976
2021-10-07,642.22998,646.840027,630.450012,631.849976
2021-10-08,634.169983,643.799988,630.859985,632.659973
2021-10-11,633.200012,639.419983,626.780029,627.039978
2021-10-12,633.02002,637.659973,621.98999,624.940002
2021-10-13,632.179993,632.179993,622.099976,629.76001
2021-10-14,632.22998,636.880005,626.789978,633.799988
2021-10-15,638.0,639.419983,625.159973,628.289978
2021-10-18,632.099976,638.409973,620.590027,637.969971
2021-10-19,636.969971,641.0,632.299988,639.0
2021-10-20,625.570007,637.400024,617.150024,625.140015
2021-10-21,628.890015,654.01001,628.650024,653.159973
2021-10-22,651.809998,665.460022,651.809998,664.780029
2021-10-25,663.73999,675.880005,657.070007,671.659973
2021-10-26,673.76001,676.48999,662.77002,668.52002
2021-10-27,669.0,671.409973,661.849976,662.919983
2021-10-28,670.950012,676.799988,668.030029,674.049988
2021-10-29,673.059998,690.969971,671.23999,690.309998
2021-11-01,689.059998,689.969971,676.539978,681.169983
2021-11-02,683.109985,687.679993,673.820007,677.719971
2021-11-03,677.27002,689.390015,677.27002,688.289978
2021-11-04,685.890015,685.940002,665.5,668.400024
2021-11-05,663.969971,665.640015,645.01001,645.719971
2021-11-08,650.289978,656.0,643.789978,651.450012
2021-11-09,653.700012,660.5,650.52002,655.98999
2021-11-10,653.01001,660.330017,642.109985,646.909973
2021-11-11,650.23999,665.820007,649.710022,657.580017
2021-11-12,660.01001,683.340027,653.820007,682.609985
2021-11-15,681.23999,685.26001,671.48999,679.330017
2021-11-16,678.27002,688.359985,676.900024,687.400024
2021-11-17,690.0,700.98999,686.090027,691.690002
2021-11-18,691.609985,691.73999,679.73999,682.02002
2021-11-19,692.349976,694.159973,675.0,678.799988
2021-11-22,676.02002,679.47998,656.469971,659.200012
2021-11-23,658.179993,666.429993,646.049988,654.059998
2021-11-24,658.01001,661.440002,651.099976,658.289978
2021-11-26,675.0,676.409973,660.669983,665.640015
2021-11-29,663.200012,667.98999,658.289978,663.840027
2021-11-30,668.200012,675.380005,640.01001,641.900024
2021-12-01,649.47998,654.52002,617.070007,617.77002
2021-12-02,617.099976,625.359985,612.880005,616.469971
2021-12-03,622.75,625.5,594.0,602.130005
